Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
DOGE,4/11/2021,0.063571771,0.06161707,0.065111407,0.060942528
DOGE,4/12/2021,0.075635361,0.063761394,0.080034481,0.063324808
DOGE,4/13/2021,0.071577583,0.074373903,0.075430358,0.06869098
DOGE,4/14/2021,0.092441463,0.070796023,0.094517098,0.070633235
DOGE,4/15/2021,0.127577877,0.094430068,0.145307731,0.092168066
DOGE,4/16/2021,0.172166148,0.121380367,0.191841021,0.119870139
DOGE,4/17/2021,0.379519836,0.182557862,0.450486496,0.179308342
DOGE,4/18/2021,0.305682456,0.366145814,0.381435038,0.231646176
DOGE,4/19/2021,0.331811598,0.283044708,0.351533586,0.242357807
DOGE,4/20/2021,0.416551143,0.323461541,0.428461013,0.309447102
DOGE,4/21/2021,0.335396207,0.409620872,0.424082256,0.270982072
DOGE,4/22/2021,0.307960278,0.317722926,0.347929431,0.296531853
DOGE,4/23/2021,0.268338061,0.306176178,0.309229769,0.253302698
DOGE,4/24/2021,0.239144436,0.260825536,0.269405262,0.160811699
DOGE,4/25/2021,0.271423499,0.250250226,0.291159694,0.230929255
DOGE,4/26/2021,0.247977716,0.270787752,0.288425735,0.226516875
DOGE,4/27/2021,0.26637307,0.252019432,0.280852995,0.24769821
DOGE,4/28/2021,0.271995915,0.271817374,0.280314666,0.264840644
DOGE,4/29/2021,0.316329021,0.27267084,0.346254244,0.256312513
DOGE,4/30/2021,0.307702085,0.323448072,0.324796895,0.296199345
DOGE,5/1/2021,0.335147266,0.305113485,0.340012902,0.302599464
DOGE,5/2/2021,0.385159665,0.337656106,0.392687351,0.328297457
DOGE,5/3/2021,0.378402865,0.391123933,0.400120412,0.362501819
DOGE,5/4/2021,0.4364163,0.374615819,0.447834979,0.374383008
DOGE,5/5/2021,0.542510967,0.44175949,0.61113518,0.404326976
DOGE,5/6/2021,0.641604502,0.539315591,0.696495456,0.521010806
DOGE,5/7/2021,0.586173406,0.653902093,0.66479447,0.541251818
DOGE,5/8/2021,0.722320477,0.581479076,0.73407397,0.518043202
DOGE,5/9/2021,0.643680123,0.691174001,0.74001033,0.601951832
DOGE,5/10/2021,0.585158958,0.638253654,0.701836882,0.41869423
DOGE,5/11/2021,0.456113233,0.571452181,0.57225052,0.420449572
DOGE,5/12/2021,0.502475785,0.451166113,0.548795859,0.443969025
DOGE,5/13/2021,0.451993509,0.494396604,0.52159038,0.432616881
DOGE,5/14/2021,0.430041934,0.391860679,0.456328824,0.355279197
DOGE,5/15/2021,0.555003481,0.489558242,0.591271402,0.465178855
DOGE,5/16/2021,0.510966061,0.560687319,0.564693389,0.491605129
DOGE,5/17/2021,0.492425537,0.508945707,0.54909719,0.449745681
DOGE,5/18/2021,0.482282755,0.513974427,0.516263483,0.456249163
DOGE,5/19/2021,0.480503137,0.487724344,0.508853277,0.469999313
DOGE,5/20/2021,0.368139504,0.476588079,0.48013626,0.23911077
DOGE,5/21/2021,0.396053422,0.330857973,0.436621732,0.303589215
DOGE,5/22/2021,0.357465767,0.399001284,0.412568057,0.314786784
